id,Topo,X,Y,Z,diameter,code1,code2,code3
1,*^/A1/S1,149.0899963,1.779999971,110.4499969,4.2,mainst,,
2,/S2,148.1199951,2.049999952,107.4700012,4.2,mainst,,
3,/S3,146.9299927,1.889999986,104.2799988,4.3,mainst,,
4,/S4,145.9199982,2.730000019,101.1500015,4.1,mainst,,
5,/S5,144.7899933,2.970000029,98.41000366,4,mainst,,
6,/S6,143.6699982,3.170000076,95.27999878,4.4,mainst,,
7,/S7,143.1799927,3.150000095,92.05000305,4.2,mainst,,
8,/S8,142.5599976,3.730000019,88.54000092,3.5,mainst,,
9,/S9,141.8600006,4.539999962,84.77999878,3.1,mainst,,
10,/S10,140.3099976,4.690000057,81.25,3,mainst,,
11,/S11,139.2100067,5.210000038,76.37999725,3,mainst,,
12,/S12,137.5599976,5.510000229,72.26000214,3.2,mainst,,
13,/S13,136.3800049,5.570000172,68.94999695,2.5,mainst,,
14,/S14,135.25,6.730000019,65.20999908,1.9,mainst,,
15,/S15,133.6699982,6.070000172,60.70999908,1.7,mainst,,
16,/S16,132.2400055,5.489999771,56.09000015,1.8,mainst,,
17,/S17,131.4100037,5.440000057,53.36999893,1.7,mainst,,
18,/S18,130.3000031,5.340000153,51.47000122,1.5,mainst,,
19,/S19,128.5099945,5.179999828,47.20000076,1.4,mainst,,
20,/S20,127.5400009,5.03000021,44.61000061,1.4,mainst,,
21,/S21,125.2900009,4.710000038,39.43999863,2,mainst,,main ap broken lateral branch formed
22,/S22,125.2200012,4.429999828,38.34999847,1.5,mainst,,
23,/S23,125.5699997,4.619999886,37.38000107,1.4,mainst,,
24,/S24,125.8399963,4.510000229,35.81000137,1.4,mainst,,
25,/S25,126.0299988,4.039999962,33.36000061,1.2,mainst,,
26,/S26,125.5999985,3.930000067,30.12000084,1.2,mainst,,
27,/S27,124.9800034,3.680000067,25.61000061,1.2,mainst,,
28,/S28,123.8799973,3.539999962,18.94000053,1.1,mainst,,
29,/S29,123.2900009,3.779999971,13.78999996,1.1,mainst,,
30,/S30,122.5800018,3.920000076,9.449999809,1.1,mainst,,
31,/S31,122.3499985,4.139999866,4.71999979,1.2,mainst,,
32,/S32,122.1299973,4.25,0.419999987,1.1,mainst,,
33,/S33,121.6299973,3.970000029,-4.920000076,1.3,mainst,,
34,/S34,121.5299988,3.74000001,-6.510000229,1.7,mainst,,
35,/S35,121.3899994,3.210000038,-8.090000153,1.1,mainst,,
36,/S36,121.2900009,3.480000019,-9.640000343,1.1,mainst,,
37,/S37,121.2900009,3.319999933,-11.89000034,0.9,mainst,,
38,/S38,121.0699997,2.829999924,-17.12999916,0.9,mainst,,
39,/S39,120.6500015,2.339999914,-22.53000069,0.7,mainst,,
40,/S40,120.3300018,1.820000052,-26.51000023,0.9,mainst,,
41,/S41,120.3099976,1.600000024,-28.63999939,0.7,mainst,,
42,/S42,120.0999985,1.289999962,-31.81999969,0.8,mainst,,
43,/S43,119.8099976,1.330000043,-33.22000122,1,mainst,,
44,/S44,120.0199966,1.309999943,-34.75999832,0.8,mainst,,
45,/S45,119.8000031,1.309999943,-38.56999969,0.5,mainst,,
46,/S46,119.5,1.480000019,-40.34000015,0.6,mainst,,
47,/S47,119.4800034,1.580000043,-42.63000107,0.7,apbud,,ap bud
48,/S48,119.9700012,1.539999962,-45.72000122,0.7,apbud,,ap bud
